;palabra;segmentacion
1408;ayean;['aye', 'a', 'n']
1409;katrukachungeken;['katru', 'kachu', 'nge', 'ke', 'n']
1410;karüleken;['karü', 'le', 'ke', 'n']
1411;katrupun;['katru', 'pu', 'n']
1412;katruken;['katru', 'ke', 'n']
1413;katrukachuken;['katru', 'kachu', 'ke', 'n']
1414;adentulean;['adentu', 'le', 'a', 'n']
1415;pepingeken;['pepi', 'nge', 'ke', 'n']
1416;runrunkefun;['runrun', 'ke', 'fu', 'n']
1417;liftuken;['lif', 'tu', 'ke', 'n']
1418;lifkülean;['lif', 'küle', 'a', 'n']
1419;Temucochengen;['Temuco', 'che', 'nge', 'n']
1420;wirarwken;['wirar', 'w', 'ke', 'n']
1421;pan;['pa', 'n']
1422;ilotun;['ilo', 'tu', 'n']
1423;küpailosanchutufun;['küpa', 'ilo', 'sanchu', 'tu', 'fu', 'n']
1424;ilongean;['ilo', 'nge', 'a', 'n']
1425;pichiwentrun;['pichi', 'wentru', 'n']
1426;iloachawalltun;['iloachawall', 'tu', 'n']
1427;ngillamengeken;['ngilla', 'me', 'nge', 'ke', 'n']
1428;küpailotun;['küpa', 'ilo', 'tu', 'n']
1429;ilotukangean;['ilo', 'tu', 'ka', 'nge', 'a', 'n']
1430;ngillamen;['ngilla', 'me', 'n']
1431;inangen;['ina', 'nge', 'n']
1432;yemen;['ye', 'me', 'n']
1433;ngillakamen;['ngilla', 'ka', 'me', 'n']
1434;fendean;['fende', 'a', 'n']
1435;rakiduaman;['rakiduam', 'a', 'n']
1436;dungungean;['dungu', 'nge', 'a', 'n']
1437;küpadungun;['küpa', 'dungu', 'n']
1438;akulngen;['aku', 'l', 'nge', 'n']
1439;patriwkülen;['patriw', 'küle', 'n']
1440;küpangen;['küpa', 'nge', 'n']
1441;üytuan;['üy', 'tu', 'a', 'n']
1442;pofrelean;['pofre', 'le', 'a', 'n']
1443;afküleken;['af', 'küle', 'ke', 'n']
1444;nguyuan;['nguyu', 'a', 'n']
1445;dungumeken;['dungu', 'meke', 'n']
1446;allkümen;['allkü', 'me', 'n']
1447;dungudungumeken;['dungu', 'dungu', 'meke', 'n']
1448;famnagkülean;['fam', 'nag', 'küle', 'a', 'n']
1449;ngillakamean;['ngilla', 'ka', 'me', 'a', 'n']
1450;ngillamean;['ngilla', 'me', 'a', 'n']
1451;kuñiwtukülen;['kuñiw', 'tu', 'küle', 'n']
1452;ingen;['i', 'nge', 'n']
1453;allkatun;['allka', 'tu', 'n']
1454;rakiduamkülen;['rakiduam', 'küle', 'n']
1455;farakotun;['farako', 'tu', 'n']
1456;machitungekefun;['machi', 'tu', 'nge', 'ke', 'fu', 'n']
1457;pelontungekefun;['pelon', 'tu', 'nge', 'ke', 'fu', 'n']
1458;wilin;['wili', 'n']
1459;pelontun;['pelon', 'tu', 'n']
1460;chafon;['chaf', 'o', 'n']
1461;elungeken;['elu', 'nge', 'ke', 'n']
1462;llikalkefun;['llika', 'l', 'ke', 'fu', 'n']
1463;tringartukungen;['tringar', 'tuku', 'nge', 'n']
1464;kutranngen;['kutran', 'nge', 'n']
1465;pengelnien;['pe', 'nge', 'l', 'nie', 'n']
1466;llikalngekefun;['llika', 'l', 'nge', 'ke', 'fu', 'n']
1467;punetukungen;['pune', 'tuku', 'nge', 'n']
1468;pelontukerkefun;['pelon', 'tu', 'ke', 'rke', 'fu', 'n']
1469;küpamachingen;['küpamachi', 'nge', 'n']
1470;dullitungeken;['dulli', 'tu', 'nge', 'ke', 'n']
1471;tripakerken;['tripa', 'ke', 'rke', 'n']
1472;mülekerken;['müle', 'ke', 'rke', 'n']
1473;tremkerken;['trem', 'ke', 'rke', 'n']
1474;yengeken;['ye', 'nge', 'ke', 'n']
1475;pengen;['pe', 'nge', 'n']
1476;wirituken;['wiri', 'tu', 'ke', 'n']
1477;yerpun;['ye', 'rpu', 'n']
1478;putokomeken;['putoko', 'meke', 'n']
1479;lawentumeken;['lawen', 'tu', 'meke', 'n']
1480;pelontungen;['pelon', 'tu', 'nge', 'n']
1481;doctorngean;['doctor', 'nge', 'a', 'n']
1482;doctorngen;['doctor', 'nge', 'n']
1483;adkintungean;['adkintu', 'nge', 'a', 'n']
1484;küpadoctorngen;['küpa', 'doctor', 'nge', 'n']
1485;anun;['anu', 'n']
1486;respetayan;['respeta', 'ya', 'n']
1487;newfun;['new', 'fu', 'n']
1488;wirawirangen;['wira', 'wira', 'nge', 'n']
1489;kewayawken;['kewa', 'yaw', 'ke', 'n']
1490;illamngeken;['illam', 'nge', 'ke', 'n']
1491;illamngean;['illam', 'nge', 'a', 'n']
1492;kewaken;['kewa', 'ke', 'n']
1493;wedalkalepan;['weda', 'l', 'ka', 'le', 'pa', 'n']
1494;kutrankawlepan;['kutrankaw', 'le', 'pa', 'n']
1495;illamngen;['illam', 'nge', 'n']
1496;respetangen;['respeta', 'nge', 'n']
1497;fendemekefun;['fende', 'meke', 'fu', 'n']
1498;ngillapayan;['ngilla', 'pa', 'ya', 'n']
1499;kuntulen;['kuntu', 'le', 'n']
1500;tronglilen;['trongli', 'le', 'n']
1501;eluaen;['elu', 'a', 'e', 'n']
1502;weñeñmangekefun;['weñe', 'ñma', 'nge', 'ke', 'fu', 'n']
1503;illamngekefun;['illam', 'nge', 'ke', 'fu', 'n']
1504;umawkülefun;['umaw', 'küle', 'fu', 'n']
1505;kudufun;['kudu', 'fu', 'n']
1506;umawkülen;['umaw', 'küle', 'n']
1507;nawpan;['naw', 'pa', 'n']
1508;calzoncillotulen;['calzoncillo', 'tu', 'le', 'n']
1509;witralepun;['witra', 'le', 'pu', 'n']
1510;puwrumen;['puw', 'rume', 'n']
1511;nuwkülepen;['nu', 'w', 'küle', 'pe', 'n']
1512;nengümnengümngen;['nengüm', 'nengüm', 'nge', 'n']
1513;tranarupan;['tranarupa', 'n']
1514;elken;['el', 'ke', 'n']
1515;ngillaken;['ngilla', 'ke', 'n']
1516;chumkunun;['chum', 'kunu', 'n']
1517;desmayan;['desmaya', 'n']
1518;tranaruparumen;['tranarupa', 'rume', 'n']
1519;nuyuan;['nuyu', 'a', 'n']
1520;nuyuken;['nuyu', 'ke', 'n']
1521;nengümken;['nengüm', 'ke', 'n']
1522;nengüman;['nengüm', 'a', 'n']
1523;palolpalolngen;['palolpalol', 'nge', 'n']
1524;pultrulen;['pultru', 'le', 'n']
1525;pultrunlen;['pultrun', 'le', 'n']
1526;palopalolngen;['palopalol', 'nge', 'n']
1527;pipingen;['pi', 'pi', 'nge', 'n']
1528;triran;['trir', 'a', 'n']
1529;kullin;['kulli', 'n']
1530;pofrengen;['pofre', 'nge', 'n']
1531;urkulen;['urku', 'le', 'n']
1532;urkun;['urku', 'n']
1533;yewün;['ye', 'w', 'ün']
1534;kimkülün;['kim', 'kül', 'ün']
1535;kimün;['kim', 'ün']
1536;küpakimün;['küpa', 'kim', 'ün']
1537;weñangkün;['weñangk', 'ün']
1538;ñamün;['ñam', 'ün']
1539;afün;['af', 'ün']
1540;kutranün;['kutran', 'ün']
1541;kawelün;['ka', 'w', 'el', 'ün']
1542;femün;['fem', 'ün']
1543;konün;['kon', 'ün']
1544;müpüyawün;['müpü', 'yaw', 'ün']
1545;kimwudwudün;['kimwudwud', 'ün']
1546;iyufalün;['i', 'yu', 'fal', 'ün']
1547;rufün;['ruf', 'ün']
1548;trempuramün;['trem', 'pura', 'm', 'ün']
1549;tremün;['trem', 'ün']
1550;ngolliyawün;['ngolli', 'yaw', 'ün']
1551;wulün;['wul', 'ün']
1552;chumün;['chum', 'ün']
1553;duamün;['duam', 'ün']
1554;kawün;['ka', 'w', 'ün']
1555;ülmenwün;['ülmen', 'w', 'ün']
1556;langümwün;['langüm', 'w', 'ün']
1557;rakiduamün;['rakiduam', 'ün']
1558;llikakülün;['llika', 'kül', 'ün']
1559;puwün;['puw', 'ün']
1560;konwekülün;['kon', 'we', 'kül', 'ün']
1561;küdawün;['küdaw', 'ün']
1562;witranpuramün;['witra', 'n', 'pura', 'm', 'ün']
1563;chillkatukülün;['chillkatu', 'kül', 'ün']
1564;falün;['fal', 'ün']
1565;kureyawün;['kure', 'yaw', 'ün']
1566;kiñewün;['kiñe', 'w', 'ün']
1567;adumün;['adum', 'ün']
1568;tuwün;['tuw', 'ün']
1569;adumüwün;['adum', 'üw', 'ün']
1570;viajeyawün;['viaje', 'ya', 'w', 'ün']
1571;kuruftukumawün;['kuruf', 'tuku', 'maw', 'ün']
1572;kudewün;['kude', 'w', 'ün']
1573;awarkudewün;['awar', 'kude', 'w', 'ün']
1574;küpalün;['küpal', 'ün']
1575;kimelwün;['kimel', 'w', 'ün']
1576;wirarün;['wirar', 'ün']
1577;küpakonün;['küpa', 'kon', 'ün']
1578;kutrankawün;['kutrankaw', 'ün']
1579;nütramkawün;['nütramka', 'w', 'ün']
1580;dewmaiyaelün;['dewmaiyael', 'ün']
1581;yewekülün;['yewe', 'kül', 'ün']
1582;pingekefün;['pi', 'nge', 'ke', 'f', 'ün']
1583;elün;['el', 'ün']
1584;adumuwün;['adumu', 'w', 'ün']
1585;tukutuwün;['tuku', 'tu', 'w', 'ün']
1586;chumleafün;['chum', 'le', 'a', 'f', 'ün']
1587;kimeluwün;['kimelu', 'w', 'ün']
1588;niefün;['nie', 'f', 'ün']
1589;ngüneluwün;['ngüneluw', 'ün']
1590;piwkeyewün;['piwke', 'y', 'ew', 'ün']
1591;ilokawün;['ilo', 'ka', 'w', 'ün']
1592;allfüluwün;['allfü', 'lu', 'w', 'ün']
1593;utrunagün;['utrunag', 'ün']
1594;miyawün;['miyaw', 'ün']
1595;kewün;['kew', 'ün']
1596;ñamyawün;['ñam', 'yaw', 'ün']
1597;dakeluwün;['dakelu', 'w', 'ün']
1598;pewün;['pe', 'w', 'ün']
1599;trekayawün;['treka', 'yaw', 'ün']
1600;tralkatuwün;['tralkatu', 'w', 'ün']
1601;wewün;['wew', 'ün']
1602;piwün;['pi', 'w', 'ün']
1603;wakakamañkiyawün;['waka', 'kamañ', 'kiyaw', 'ün']
1604;yawün;['yaw', 'ün']
1605;tripakülün;['tripa', 'kül', 'ün']
1606;pelowün;['pelo', 'w', 'ün']
1607;adumuluwün;['adumu', 'lu', 'w', 'ün']
1608;femkülün;['fem', 'kül', 'ün']
1609;dullingekefuymi;['dulli', 'nge', 'ke', 'fu', 'ymi']
1610;trawymi;['traw', 'ymi']
1611;mülekefuymi;['müle', 'ke', 'fu', 'ymi']
1612;pingekefuymi;['pi', 'nge', 'ke', 'fu', 'ymi']
1613;pingerkefuymi;['pi', 'nge', 'rke', 'fu', 'ymi']
1614;dungukefuymi;['dungu', 'ke', 'fu', 'ymi']
1615;nentukeymi;['nentu', 'ke', 'ymi']
1616;dunguymi;['dungu', 'ymi']
1617;pikefuymi;['pi', 'ke', 'fu', 'ymi']
1618;witraymi;['witra', 'ymi']
1619;puramkefuymi;['pura', 'm', 'ke', 'fu', 'ymi']
1620;wirifengeymi;['wiri', 'fe', 'nge', 'ymi']
1621;pingeymi;['pi', 'nge', 'ymi']
1622;feyentukefuymi;['feyentu', 'ke', 'fu', 'ymi']
1623;dewmangekefuymi;['dewma', 'nge', 'ke', 'fu', 'ymi']
1624;müleymi;['müle', 'ymi']
1625;chumaymi;['chum', 'a', 'ymi']
1626;küpaymi;['küpa', 'ymi']
1627;yewymi;['ye', 'w', 'ymi']
1628;amukefuymi;['amu', 'ke', 'fu', 'ymi']
1629;weupimekefuymi;['weupi', 'meke', 'fu', 'ymi']
1630;dungumekerkefuymi;['dungu', 'meke', 'rke', 'fu', 'ymi']
1631;awkiñawkiñngekefuymi;['awkiñ', 'awkiñ', 'nge', 'ke', 'fu', 'ymi']
1632;mütrümpeymi;['mütrüm', 'pe', 'ymi']
1633;piymi;['pi', 'ymi']
1634;portaymi;['porta', 'ymi']
1635;famaymi;['fam', 'a', 'ymi']
1636;feypingekefuymi;['fey', 'pi', 'nge', 'ke', 'fu', 'ymi']
1637;külluymi;['kül', 'lu', 'ymi']
1638;trokiwkeymi;['troki', 'w', 'ke', 'ymi']
1639;yewekefuymi;['yewe', 'ke', 'fu', 'ymi']
1640;pekankaymi;['pekanka', 'ymi']
1641;reyipeymi;['reyi', 'pe', 'ymi']
1642;entuymi;['entu', 'ymi']
1643;chumngeafuymi;['chum', 'nge', 'a', 'fu', 'ymi']
1644;tukuyawlngeymi;['tuku', 'yaw', 'l', 'nge', 'ymi']
1645;eluyengeymi;['elu', 'ye', 'nge', 'ymi']
1646;kimkülymi;['kim', 'kül', 'ymi']
1647;nieymi;['nie', 'ymi']
1648;larumeymi;['la', 'rume', 'ymi']
1649;ellayaymi;['el', 'la', 'ya', 'ymi']
1650;feypikefuymi;['fey', 'pi', 'ke', 'fu', 'ymi']
1651;awkaymi;['awka', 'ymi']
1652;kewakefuymi;['kewa', 'ke', 'fu', 'ymi']
1653;chemkefuymi;['chem', 'ke', 'fu', 'ymi']
1654;tripakefuymi;['tripa', 'ke', 'fu', 'ymi']
1655;kimymi;['kim', 'ymi']
1656;pingekeymi;['pi', 'nge', 'ke', 'ymi']
1657;pikeymi;['pi', 'ke', 'ymi']
1658;feypieymi;['fey', 'pi', 'e', 'ymi']
1659;kimeleymi;['kimel', 'e', 'ymi']
1660;amuymi;['amu', 'ymi']
1661;akuaymi;['aku', 'a', 'ymi']
1662;küpakimymi;['küpa', 'kim', 'ymi']
1663;feypiafueymi;['fey', 'pi', 'a', 'fu', 'e', 'ymi']
1664;chumlekefuymi;['chum', 'le', 'ke', 'fu', 'ymi']
1665;pentukuymi;['pentuku', 'ymi']
1666;dunguaymi;['dungu', 'a', 'ymi']
1667;kimnieymi;['kim', 'nie', 'ymi']
1668;dewmangekeymi;['dewma', 'nge', 'ke', 'ymi']
1669;amukeymi;['amu', 'ke', 'ymi']
1670;lantuymi;['lantu', 'ymi']
1671;dungumeafuymi;['dungu', 'me', 'a', 'fu', 'ymi']
1672;pepaeymi;['pe', 'pa', 'e', 'ymi']
1673;amuleymi;['amu', 'le', 'ymi']
1674;ngoymantukuaymi;['ngoyma', 'n', 'tuku', 'a', 'ymi']
1675;felekeymi;['fele', 'ke', 'ymi']
1676;weñangkymi;['weñangk', 'ymi']
1677;yafulukeymi;['yafu', 'lu', 'ke', 'ymi']
1678;kimniekaymi;['kim', 'nie', 'ka', 'ymi']
1679;ñamymi;['ñam', 'ymi']
1680;rupaymi;['rupa', 'ymi']
1681;feypiymi;['fey', 'pi', 'ymi']
1682;femkeymi;['fem', 'ke', 'ymi']
1683;wenüywenngeymi;['wenüy', 'wen', 'nge', 'ymi']
1684;amuafuymi;['amu', 'a', 'fu', 'ymi']
1685;müleafuymi;['müle', 'a', 'fu', 'ymi']
1686;kewaymi;['kewa', 'ymi']
1687;femürkeymi;['fem', 'ürke', 'ymi']
1688;konürkeymi;['kon', 'ürke', 'ymi']
1689;pikeeymi;['pi', 'ke', 'e', 'ymi']
1690;amukafuymi;['amu', 'ka', 'fu', 'ymi']
1691;pentukuaymi;['pentuku', 'a', 'ymi']
1692;küdawaymi;['küdaw', 'a', 'ymi']
1693;werkükeymi;['werkü', 'ke', 'ymi']
1694;nieaymi;['nie', 'a', 'ymi']
1695;kellumuaymi;['kellu', 'mu', 'a', 'ymi']
1696;elkünukeymi;['el', 'künu', 'ke', 'ymi']
1697;afymi;['af', 'ymi']
1698;mülekeymi;['müle', 'ke', 'ymi']
1699;kawiñtuymi;['kawiñ', 'tu', 'ymi']
1700;kolletuaymi;['kolletu', 'a', 'ymi']
1701;kelluymi;['kellu', 'ymi']
1702;kellukewfuymi;['kellu', 'ke', 'w', 'fu', 'ymi']
1703;akuymi;['aku', 'ymi']
1704;wingkadunguymi;['wingkadungu', 'ymi']
1705;ketraymi;['ketra', 'ymi']
1706;nentuaymi;['nentu', 'a', 'ymi']
1707;fentepuymi;['fente', 'pu', 'ymi']
1708;kisuleymi;['kisu', 'le', 'ymi']
1709;kümelkalekefuymi;['küme', 'l', 'ka', 'le', 'ke', 'fu', 'ymi']
1710;feyentukeymi;['feyentu', 'ke', 'ymi']
1711;mapuchengeymi;['mapuche', 'nge', 'ymi']
1712;ngünewkülefuymi;['ngüne', 'w', 'küle', 'fu', 'ymi']
1713;pichiymi;['pichi', 'ymi']
1714;niekefuymi;['nie', 'ke', 'fu', 'ymi']
1715;langümngekeymi;['langüm', 'nge', 'ke', 'ymi']
1716;nietuymi;['nie', 'tu', 'ymi']
1717;pichikaymi;['pichi', 'ka', 'ymi']
1718;kimmapudunguymi;['kim', 'mapudungu', 'ymi']
1719;entukefuymi;['entu', 'ke', 'fu', 'ymi']
1720;yenieymi;['ye', 'nie', 'ymi']
1721;puwkeymi;['puw', 'ke', 'ymi']
1722;feleymi;['fele', 'ymi']
1723;küpalngekeymi;['küpal', 'nge', 'ke', 'ymi']
1724;feypikeymi;['fey', 'pi', 'ke', 'ymi']
1725;mapudungufuymi;['mapudungu', 'fu', 'ymi']
1726;kutranymi;['kutran', 'ymi']
1727;kintukeymi;['kintu', 'ke', 'ymi']
1728;kullingekeymi;['kulli', 'nge', 'ke', 'ymi']
1729;machituymi;['machi', 'tu', 'ymi']
1730;machituaymi;['machi', 'tu', 'a', 'ymi']
1731;femngeymi;['fem', 'nge', 'ymi']
1732;wechewentrungeymi;['weche', 'wentru', 'nge', 'ymi']
1733;kutranfuymi;['kutran', 'fu', 'ymi']
1734;karüngeymi;['karü', 'nge', 'ymi']
1735;mongetuymi;['monge', 'tu', 'ymi']
1736;tremoleymi;['tremo', 'le', 'ymi']
1737;akutuymi;['aku', 'tu', 'ymi']
1738;ngekefuymi;['nge', 'ke', 'fu', 'ymi']
1739;yeymi;['ye', 'ymi']
1740;angkükeymi;['angkü', 'ke', 'ymi']
1741;miyawkeymi;['miyaw', 'ke', 'ymi']
1742;yeniekeymi;['ye', 'nie', 'ke', 'ymi']
1743;feletuymi;['fele', 'tu', 'ymi']
1744;kintuaymi;['kintu', 'a', 'ymi']
1745;küpakatruymi;['küpa', 'katru', 'ymi']
1746;katruaymi;['katru', 'a', 'ymi']
1747;elungeaymi;['elu', 'nge', 'a', 'ymi']
1748;ngillatupukeymi;['ngillatu', 'pu', 'ke', 'ymi']
1749;nentukaymi;['nentu', 'ka', 'ymi']
1750;entumekeymi;['entu', 'meke', 'ymi']
1751;pichiletuymi;['pichi', 'le', 'tu', 'ymi']
1752;amutuymi;['amu', 'tu', 'ymi']
1753;mülekaymi;['müle', 'ka', 'ymi']
1754;ngillatuymi;['ngillatu', 'ymi']
1755;ngillatukeymi;['ngillatu', 'ke', 'ymi']
1756;miyawkefuymi;['miyaw', 'ke', 'fu', 'ymi']
1757;kawelymi;['ka', 'w', 'el', 'ymi']
1758;ngillatukefuymi;['ngillatu', 'ke', 'fu', 'ymi']
1759;kümelkakeymi;['küme', 'l', 'ka', 'ke', 'ymi']
1760;kimngillatuymi;['kim', 'ngilla', 'tu', 'ymi']
1761;entukeymi;['entu', 'ke', 'ymi']
1762;ngenpiymi;['ngen', 'pi', 'ymi']
1763;ñidolkünuymi;['ñidol', 'künu', 'ymi']
1764;todangeymi;['toda', 'nge', 'ymi']
1765;weupiymi;['weupi', 'ymi']
1766;allkütumekeymi;['allkü', 'tu', 'meke', 'ymi']
1767;pichiwentrungeymi;['pichi', 'wentru', 'nge', 'ymi']
1768;pichidomongeymi;['pichi', 'domo', 'nge', 'ymi']
1769;weupikefuymi;['weupi', 'ke', 'fu', 'ymi']
1770;adumkeymi;['adum', 'ke', 'ymi']
1771;yewekeymi;['yewe', 'ke', 'ymi']
1772;mapudunguaymi;['mapudungu', 'a', 'ymi']
1773;llikalekeymi;['llika', 'le', 'ke', 'ymi']
1774;mapudungukaymi;['mapudungu', 'ka', 'ymi']
1775;kümeafuymi;['küme', 'a', 'fu', 'ymi']
1776;mapudunguymi;['mapudungu', 'ymi']
1777;lakutuymi;['laku', 'tu', 'ymi']
1778;pingefuymi;['pi', 'nge', 'fu', 'ymi']
1779;lakuymi;['laku', 'ymi']
1780;yemekeymi;['ye', 'meke', 'ymi']
1781;küpalkeymi;['küpal', 'ke', 'ymi']
1782;langümkeymi;['langüm', 'ke', 'ymi']
1783;tukulelngekeymi;['tuku', 'lel', 'nge', 'ke', 'ymi']
1784;küpaleymi;['küpa', 'le', 'ymi']
1785;puwaymi;['puw', 'a', 'ymi']
1786;ngoymafuymi;['ngoyma', 'fu', 'ymi']
1787;llituymi;['llitu', 'ymi']
1788;wingkadunguaymi;['wingka', 'dungu', 'a', 'ymi']
1789;mapudungukefuymi;['mapudungu', 'ke', 'fu', 'ymi']
1790;wedaleymi;['weda', 'le', 'ymi']
1791;femymi;['fem', 'ymi']
1792;ñamaymi;['ñam', 'a', 'ymi']
1793;ayiwkeymi;['ayi', 'w', 'ke', 'ymi']
1794;pichichengeymi;['pichi', 'che', 'nge', 'ymi']
1795;kümeymi;['küme', 'ymi']
1796;fütraymi;['fütra', 'ymi']
1797;ngoymaymi;['ngoyma', 'ymi']
1798;tukuafuymi;['tuku', 'a', 'fu', 'ymi']
1799;kimaymi;['kim', 'a', 'ymi']
1800;kimelmapudunguymi;['kimel', 'mapudungu', 'ymi']
1801;feypingeymi;['fey', 'pi', 'nge', 'ymi']
1802;wingkadunguleaymi;['wingkadungu', 'le', 'a', 'ymi']
1803;wingkadungutuaymi;['wingkadungu', 'tu', 'a', 'ymi']
1804;piyawkefuymi;['pi', 'yaw', 'ke', 'fu', 'ymi']
1805;kümetuymi;['küme', 'tu', 'ymi']
1806;kisulewetuymi;['kisu', 'le', 'we', 'tu', 'ymi']
1807;wiñotuymi;['wiño', 'tu', 'ymi']
1808;puwtuymi;['puw', 'tu', 'ymi']
1809;elchekeymi;['el', 'che', 'ke', 'ymi']
1810;kaleymi;['ka', 'le', 'ymi']
1811;kiñengeymi;['kiñe', 'nge', 'ymi']
1812;mongeleaymi;['monge', 'le', 'a', 'ymi']
1813;tripayaymi;['tripa', 'ya', 'ymi']
1814;amuaymi;['amu', 'a', 'ymi']
1815;niekaymi;['nie', 'ka', 'ymi']
1816;chillkatukeymi;['chillkatu', 'ke', 'ymi']
1817;feyentufuymi;['feyentu', 'fu', 'ymi']
1818;kiñeleymi;['kiñe', 'le', 'ymi']
1819;pefallaymi;['pe', 'fal', 'la', 'ymi']
1820;peymi;['pe', 'ymi']
1821;chengeaymi;['che', 'nge', 'a', 'ymi']
1822;ingkanieymi;['ingka', 'nie', 'ymi']
1823;illküafuymi;['illkü', 'a', 'fu', 'ymi']
1824;weshatuleymi;['wesha', 'tu', 'le', 'ymi']
1825;ayetukechefengeymi;['aye', 'tu', 'keche', 'fe', 'nge', 'ymi']
1826;feypingekeymi;['fey', 'pi', 'nge', 'ke', 'ymi']
1827;ketrongeymi;['ketro', 'nge', 'ymi']
1828;ayetufallaymi;['aye', 'tu', 'fal', 'la', 'ymi']
1829;illkükeymi;['illkü', 'ke', 'ymi']
1830;kaletuymi;['ka', 'le', 'tu', 'ymi']
1831;yemeaymi;['ye', 'me', 'a', 'ymi']
1832;nütramkayaymi;['nütramka', 'ya', 'ymi']
1833;entuaymi;['entu', 'a', 'ymi']
1834;femkefuymi;['fem', 'ke', 'fu', 'ymi']
1835;elkunuymi;['el', 'kunu', 'ymi']
1836;mongeafuymi;['monge', 'a', 'fu', 'ymi']
1837;amuleaymi;['amu', 'le', 'a', 'ymi']
1838;tralkatuymi;['tralkatu', 'ymi']
1839;konymi;['kon', 'ymi']
1840;kuydaniekefuymi;['kuyda', 'nie', 'ke', 'fu', 'ymi']
1841;müpüyawymi;['müpü', 'yaw', 'ymi']
1842;lifkülekefuymi;['lif', 'küle', 'ke', 'fu', 'ymi']
1843;yungeymi;['yu', 'nge', 'ymi']
1844;dewmakefuymi;['dewma', 'ke', 'fu', 'ymi']
1845;küdawngefuymi;['küdaw', 'nge', 'fu', 'ymi']
1846;wüdwüdkeymi;['wüdwüd', 'ke', 'ymi']
1847;pünengekeymi;['püne', 'nge', 'ke', 'ymi']
1848;wedozkünungekeymi;['wedoz', 'künu', 'nge', 'ke', 'ymi']
1849;fütaymi;['füta', 'ymi']
1850;dewmangeymi;['dewma', 'nge', 'ymi']
1851;entungemekeymi;['entu', 'nge', 'meke', 'ymi']
1852;entupaymi;['entu', 'pa', 'ymi']
1853;kimwudwudymi;['kimwudwud', 'ymi']
1854;wudwudmekeymi;['wudwud', 'meke', 'ymi']
1855;wulngekeymi;['wul', 'nge', 'ke', 'ymi']
1856;wulngekefuymi;['wul', 'nge', 'ke', 'fu', 'ymi']
1857;ngillangekeymi;['ngilla', 'nge', 'ke', 'ymi']
1858;kalekeymi;['ka', 'le', 'ke', 'ymi']
1859;püzümngekeymi;['püzüm', 'nge', 'ke', 'ymi']
1860;kümekeymi;['küme', 'ke', 'ymi']
1861;dewmakeymi;['dewma', 'ke', 'ymi']
1862;iyufalymi;['i', 'yu', 'fal', 'ymi']
1863;küdawmekeymi;['küdaw', 'meke', 'ymi']
1864;ayiwküleymi;['ayi', 'w', 'küle', 'ymi']
1865;ülkantuyawkeymi;['ülkantu', 'yaw', 'ke', 'ymi']
1866;küdawkeymi;['küdaw', 'ke', 'ymi']
1867;ülkantukeymi;['ülkantu', 'ke', 'ymi']
1868;dewmaniekeymi;['dewma', 'nie', 'ke', 'ymi']
1869;ngillatuñmalekeymi;['ngillatu', 'ñma', 'le', 'ke', 'ymi']
1870;kisulekeymi;['kisu', 'le', 'ke', 'ymi']
1871;operangeymi;['opera', 'nge', 'ymi']
1872;entuñmangeymi;['entu', 'ñma', 'nge', 'ymi']
1873;punakonkülerkeymi;['puna', 'kon', 'küle', 'rke', 'ymi']
1874;munulküleymi;['munu', 'l', 'küle', 'ymi']
1875;ngümakeymi;['ngüma', 'ke', 'ymi']
1876;elueymi;['elu', 'e', 'ymi']
1877;kutranküleymi;['kutran', 'küle', 'ymi']
1878;elungeymi;['elu', 'nge', 'ymi']
1879;elngeymi;['el', 'nge', 'ymi']
1880;rufymi;['ruf', 'ymi']
1881;ngillatuyawkeymi;['ngillatu', 'yaw', 'ke', 'ymi']
1882;entumeaymi;['entu', 'me', 'a', 'ymi']
1883;wiñomeaymi;['wiño', 'me', 'a', 'ymi']
1884;elngeaymi;['el', 'nge', 'a', 'ymi']
1885;chemkeymi;['chem', 'ke', 'ymi']
1886;ngillatuaymi;['ngillatu', 'a', 'ymi']
1887;ngillatukelleymi;['ngillatu', 'ke', 'lle', 'ymi']
1888;poyengeymi;['poye', 'nge', 'ymi']
1889;poyengekeymi;['poye', 'nge', 'ke', 'ymi']
1890;ngillatuñmaniekeeymi;['ngillatu', 'ñma', 'nie', 'ke', 'e', 'ymi']
1891;konümpakeeymi;['konümpa', 'ke', 'e', 'ymi']
1892;nütramkakeymi;['nütramka', 'ke', 'ymi']
1893;yawaymi;['yaw', 'a', 'ymi']
1894;reyiymi;['reyi', 'ymi']
1895;ülmenngeymi;['ülmen', 'nge', 'ymi']
1896;dunguchefengeymi;['dungu', 'che', 'fe', 'nge', 'ymi']
1897;trempuramymi;['trem', 'pura', 'm', 'ymi']
1898;müleaymi;['müle', 'a', 'ymi']
1899;wichakefuymi;['wicha', 'ke', 'fu', 'ymi']
1900;kulpakeymi;['kulpa', 'ke', 'ymi']
1901;wichakengekeymi;['wicha', 'ke', 'nge', 'ke', 'ymi']
1902;ñidolküleymi;['ñidol', 'küle', 'ymi']
1903;trawükefuymi;['trawü', 'ke', 'fu', 'ymi']
1904;elungekefuymi;['elu', 'nge', 'ke', 'fu', 'ymi']
1905;chaftuymi;['chaf', 'tu', 'ymi']
1906;katrufemñmangekeymi;['katru', 'fem', 'ñma', 'nge', 'ke', 'ymi']
1907;feyentungekefuymi;['feyentu', 'nge', 'ke', 'fu', 'ymi']
