;Palabra;Glosa
802;pangkoniepuenew;pangko-nie-pu-e-n-ew
803;fütangelmün;füta-nge-l-mün
804;kimwingkadungunon;kim-wingkadungu-no-n
805;adkintuaeyu;adkintu-a-e-yu
806;kontukey;kon-tu-ke-y
807;katruael;katru-a-el
808;amukefuiñ;amu-ke-fu-iñ
809;wechekelu;weche-ke-lu
810;karafinero;karafinero
811;formaeiñmew;forma-e-iñ-mew
812;araw;araw
813;traftuafun;traf-tu-a-fu-n
814;pikeeyu;pi-ke-e-yu
815;newe;newe
816;eluel;elu-el
817;mülepufun;müle-pu-fu-n
818;kim;kim-
819;chumngeafuy;chum-nge-a-fu-y
820;chummeken;chum-meke-n
821;explicakefuy;explica-ke-fu-y
822;gol;gol
823;nentungey;nentu-nge-y
824;turpu;turpu
825;dewmangekefuy;dewma-nge-ke-fu-y
826;ngelay;nge-la-y
827;ufisa;ufisa
828;nütramkalaymi;nütramka-la-ymi
829;adumlan;adum-la-n
830;rupayay;rupa-ya-y
831;chemperkelay;chem-pe-rke-la-y
832;municipalidad;municipalidad
833;pipieyew;pi-pi-e-y-ew
834;tamu;ta-mu
835;mülepuaymi;müle-pu-a-ymi
836;rupatun;rupa-tu-n
837;niekefulu;nie-ke-fu-lu
838;kure;kure
839;katruñmangey;katru-ñma-nge-y
840;papeltulu;papel-tu-lu
841;illkütuwiyu;illkü-tu-w-iyu
842;eluwi;elu-w-i
843;pilkatukeafimün;pilkatu-ke-a-fi-mün
844;ñayrki;ñayrki
845;tukulelafun;tuku-lel-a-fu-n
846;ilotun;ilo-tu-n
847;nerüng;nerüng
848;nieaetew;nie-a-e-t-ew
849;interesayael;interesa-ya-el
850;gringo;gringo
851;yen;ye-n
852;feypikelay;fey-pi-ke-la-y
853;tripanoli;tripa-no-l-i
854;chillkatuwe;chillkatu-we
855;que;que
856;kimelngekefuiñ;kimel-nge-ke-fu-iñ
857;pingen;pi-nge-n
858;fülkonpay;fül-kon-pa-y
859;witranngekefuy;witran-nge-ke-fu-y
860;feyke;fey-ke
861;o;o
862;wechengekakelay;weche-nge-ka-ke-la-y
863;tripantü;tripantü
864;ayulken;ayu-l-ke-n
865;puno;pun-o-
866;nienon;nie-no-n
867;adkunukey;ad-kunu-ke-y
868;kullilayaymi;kulli-la-ya-ymi
869;marin;marin
870;piafenew;pi-a-f-e-n-ew
871;weupilu;weupi-lu
872;konpalu;kon-pa-lu
873;fem;fem
874;lupümpuyngün;lup-üm-pu-y-ngün
875;feypipeenew;fey-pi-pe-e-n-ew
876;llufkentuhue;llufkentuhue
877;inafulñmaniefiiñ;inaful-ñma-nie-fi-iñ
878;nuaymün;nu-a-ymün
879;amulmün;amu-l-mün
880;tranan;trana-n
881;ange;ange
882;mülefule;müle-fu-l-e
883;katrukachuken;katru-kachu-ke-n
884;kimniekan;kim-nie-ka-n
885;wirawirangen;wira-wira-nge-n
886;nieñmayaeymew;nie-ñma-ya-e-y-mew
887;entendey;entende-y
888;elchekelu;el-che-ke-lu
889;nawpulu;naw-pu-lu
890;kimle;kim-l-e
891;pikeenew;pi-ke-e-n-ew
892;temuco;temuco
893;nuwkülepey;nu-w-küle-pe-y
894;tukuafin;tuku-a-fi-n
895;dungumeafuy;dungu-me-a-fu-y
896;felelay;fele-la-y
897;utrufnagrumele;utruf-nag-rume-l-e
898;mülerkey;müle-rke-y
899;ngenngepuy;ngen-nge-pu-y
900;feypikeenew;fey-pi-ke-e-n-ew
901;testiculo;testiculo
902;novios;novios
903;kulliael;kulli-a-el
904;feypilu;fey-pi-lu
905;kimelngeyngün;kimel-nge-y-ngün
906;enseñangey;enseña-nge-y
907;adkintumeken;adkintu-meke-n
908;anuley;anu-le-y
909;ñamlu;ñam-lu
910;konpuy;kon-pu-y
911;kimwingkadungulay;kim-wingkadungu-la-y
912;kimeltuenew;kimel-tu-e-n-ew
913;entukülelfiy;entu-küle-l-fi-y
914;ngewekelay;nge-we-ke-la-y
915;comunidad;comunidad
916;entumekey;entu-meke-y
917;mariano;mariano
918;respetawfuy;respeta-w-fu-y
919;üy;üy
920;privado;privado
921;konpatun;kon-pa-tu-n
922;elkawkeiñ;elkaw-ke-iñ
923;mülechi;müle-chi
924;witran;witra-n
925;pelan;pe-la-n
926;nütramkawingün;nütramka-w-i-ngün
927;yemeael;ye-me-a-el
928;puerta;puerta
929;yelmengekelafuy;ye-l-me-nge-ke-la-fu-y
930;anukunuam;anu-kunu-a-m
931;fenten;fente-n
932;amuyu;amu-yu
933;leon;leon
934;amukefun;amu-ke-fu-n
935;femngelay;fem-nge-la-y
936;nütramkakeiñ;nütramka-ke-iñ
937;ngillameyu;ngilla-me-yu
938;nguyuy;nguyu-y
939;iñchiñ;iñchiñ
940;wedwed;wedwed
941;ngümangümayefimi;ngüma-ngüma-ye-fi-mi
942;tio;ti-o
943;motrilekey;motri-le-ke-y
944;afachi;af-a-chi
945;tripali;tripa-l-i
946;tukulelngekey;tuku-lel-nge-ke-y
947;galondegas;galondegas
948;mikro;mikro
949;kimkelafuy;kim-ke-la-fu-y
950;petu;petu
951;chumi;chum-i
952;llikalekey;llika-le-ke-y
953;mapuche;mapuche
954;nguñelefun;nguñe-le-fu-n
955;chaf;chaf
956;kachilla;kachilla
957;femmekeyngün;fem-meke-y-ngün
958;leputufengen;lepu-tu-fe-nge-n
959;pichichengelu;pichi-che-nge-lu
960;feypipay;fey-pi-pa-y
961;entumetuenew;entu-me-tu-e-n-ew
962;üllcha;üllcha
963;florero;florero
964;ngoymatun;ngoyma-tu-n
965;llikatukunuken;llika-tu-kunu-ke-n
966;ayiwkelafuy;ayi-w-ke-la-fu-y
967;lig;lig
968;illamngeael;illam-nge-a-el
969;kake;ka-ke
970;pikefun;pi-ke-fu-n
971;welleley;welle-le-y
972;director;director
973;ayiwkey;ayi-w-ke-y
974;bailangün;baila-ngün
975;weñengekefuy;weñe-nge-ke-fu-y
976;nentuafuy;nentu-a-fu-y
977;wingkadungukelafuy;wingkadungu-ke-la-fu-y
978;wangkuwangkungen;wangku-wangku-nge-n
979;escuela;escuela
980;adumuwün;adumu-w-ün
981;trawükeiñ;trawü-ke-iñ
982;kimkerkey;kim-ke-rke-y
983;nütramkan;nütramka-n
984;pewmangenmew;pewmangen-mew
985;weñeñmangekefuy;weñe-ñma-nge-ke-fu-y
986;presidentengele;presidente-nge-l-e
987;profesormekekerkefuy;profesor-meke-ke-rke-fu-y
988;wenüywenngelu;wenüy-wen-nge-lu
989;trekan;treka-n
990;wedwedkalekafiel;wedwed-ka-le-ka-fi-el
991;puraley;pura-le-y
992;miyawüllayu;miyaw-ül-la-yu
993;ñidolkülelu;ñidol-küle-lu
994;tripayngün;tripa-y-ngün
995;dewmaiyaelwe;dewma-iyael-we
996;segundo;segundo
997;kordero;kordero
998;küpalan;küpa-l-a-n
999;kellungeael;kellu-nge-a-el
1000;pepufin;pe-pu-fi-n
1001;küpaleyngün;küpa-le-y-ngün
1002;niefiiñ;nie-fi-iñ
1003;kimngekelay;kim-nge-ke-la-y
1004;allkulan;allku-la-n
1005;fill;fill
1006;mawüy;mawü-y
1007;kuydapatuy;kuyda-pa-tu-y
1008;pewelafin;pe-we-la-fi-n
1009;lawentuñmupayaymi;lawen-tu-ñmu-pa-ya-ymi
1010;llowngeymi;llow-nge-ymi
1011;lladküy;lladkü-y
1012;eluy;elu-y
1013;feman;fem-a-n
1014;chillkatumeael;chillkatu-me-a-el
1015;fülfülküley;fül-fül-küle-y
1016;amumun;amu-mun
1017;yewenieay;yewe-nie-a-y
1018;kimelenew;kimel-e-n-ew
1019;eymün;eymü-n
1020;en;en
1021;ngolliyawlu;ngolli-yaw-lu
1022;ramtukan;ramtu-ka-n
1023;fütache;füta-che
1024;chemay;chem-a-y
1025;dewmaiyaelpeyem;dewma-i-ya-el-pe-ye-m
1026;entungey;entu-nge-y
1027;kimelngey;kimel-nge-y
1028;lladkütufueyñmew;lladkü-tu-fu-e-yñ-mew
1029;angkümweshakelu;angk-üm-weshakelu
1030;famnielafiñ;fam-nie-laf-iñ
1031;ngillañmanieafiel;ngilla-ñma-nie-a-fi-el
1032;mapudungukelaaymi;mapudungu-ke-la-a-ymi
1033;pifimi;pi-fi-mi
1034;küpatuy;küpa-tu-y
1035;niefuyu;nie-fu-yu
1036;pirumetulmi;pi-rume-tu-l-mi
1037;elufiyu;elu-fi-yu
1038;nota;no-t-a
1039;refrigerador;refrigerador
1040;rupakefuy;rupa-ke-fu-y
1041;rulpakefuy;rulpa-ke-fu-y
1042;chumngechiley;chumngechi-le-y
1043;gusto;gusto
1044;pütrülekefuy;pütrü-le-ke-fu-y
1045;cemento;cemento
1046;wichakefueyew;wicha-ke-fu-e-y-ew
1047;newentun;newen-tu-n
1048;meli;meli
1049;porque;porque
1050;yelmeaeyu;ye-l-me-a-e-yu
1051;inaniefiiñ;ina-nie-fi-iñ
1052;puwael;puw-a-el
1053;antün;antü-n
1054;mapurke;mapu-rke
1055;laf;laf
1056;ngülamngen;ngülam-nge-n
1057;pemeafiel;pe-me-a-fi-el
1058;puwam;puw-a-m
1059;ülkantulekefuy;ülkantu-le-ke-fu-y
1060;küdawküley;küdaw-küle-y
1061;dewmaiyael;dewma-i-ya-el
1062;kiñengefulu;kiñe-nge-fu-lu
1063;entuyngün;entu-y-ngün
1064;chemi;chem-i
1065;pefilu;pe-fi-lu
1066;wenu;wenu
1067;fiestaiñ;fiesta-iñ
1068;femimi;fem-imi
1069;elngepe;el-nge-pe
1070;pieliyu;pi-e-l-i-yu
1071;religion;religion
1072;mapuchedungule;mapuche-dungu-l-e
1073;ramtueyu;ramtu-e-yu
1074;amulekefuy;amu-le-ke-fu-y
1075;pentukukey;pentuku-ke-y
1076;fendengekey;fende-nge-ke-y
1077;yerumefin;ye-rume-fi-n
1078;operangekelafuy;opera-nge-ke-la-fu-y
1079;katrupun;katru-pu-n
1080;awkamefiiñ;awka-me-fi-iñ
1081;pilun;pilun
1082;feypikefiy;fey-pi-ke-fi-y
1083;pefallay;pe-fal-la-y
1084;kimlayngün;kim-la-y-ngün
1085;weupin;weupi-n
1086;frutilla;frutilla
1087;anay;anay
1088;ayefimi;aye-fi-mi
1089;che;ch-e
1090;yekefenew;ye-ke-f-e-n-ew
1091;ankakiyawkefuenew;anka-kiyaw-ke-fu-e-n-ew
1092;mallmallngekefuy;mallmall-nge-ke-fu-y
1093;tuntelewelay;tunte-le-we-la-y
1094;wilifñmay;wilif-ñma-y
1095;nengümi;nengüm-i
1096;mülepaiñ;müle-pa-iñ
1097;küpamachingen;küpamachi-nge-n
1098;sabado;sabado
1099;wallpaley;wall-pa-le-y
1100;weku;weku
1101;menoko;menoko
1102;planta;planta
1103;küpakatrulu;küpa-katru-lu
1104;pipikeyngün;pi-pi-ke-y-ngün
1105;katrukachukelu;katru-kachu-ke-lu
1106;chedküy;chedküy
1107;nuyuy;nuyu-y
1108;neyen;neyen
1109;kimkelay;kim-ke-la-y
1110;mülekefuyu;müle-ke-fu-yu
1111;niewe;nie-we
1112;ngillatufuy;ngillatu-fu-y
1113;kuñiwtukuyawiñ;kuñiw-tuku-yaw-iñ
1114;wingkadungungelele;wingkadungu-nge-le-l-e
1115;kellukefuy;kellu-ke-fu-y
1116;pingelayaymi;pi-nge-la-ya-ymi
1117;ayekelay;aye-ke-la-y
1118;koipo;koipo
1119;tercero;tercero
1120;trayenko;trayenko
1121;pobrelmün;pobre-l-mün
1122;tukuael;tuku-a-el
1123;conla;co-n-la
1124;konnolu;kon-no-lu
1125;ayeñmangeafuymi;aye-ñma-nge-a-fu-ymi
1126;dewmameken;dewma-meke-n
1127;kolletualu;kolletu-a-lu
1128;rel;rel
1129;amuymu;amu-ymu
1130;ñchiñ;ñch-iñ
1131;muntukafiy;muntu-ka-fi-y
1132;pekey;pe-ke-y
1133;mütrün;mütrün
1134;entendelan;entende-la-n
1135;semana;semana
1136;trarilongko;trari-longko
1137;ngedufkelaymün;ngeduf-ke-la-ymün
1138;awkiñawkiñngekefuy;awkiñ-awkiñ-nge-ke-fu-y
1139;kimeltuetew;kimel-tu-e-t-ew
1140;tremol;tremo-l
1141;ramtufin;ramtu-fi-n
1142;itrofill;itrofill
1143;kimniepelafuy;kim-nie-pe-la-fu-y
1144;trokiwkey;troki-w-ke-y
1145;amulayan;amu-la-ya-n
1146;apümi;apü-m-i
1147;allkutukefuy;allkutu-ke-fu-y
1148;kiñewün;kiñewün
1149;yeniey;ye-nie-y
1150;pepafinge;pe-pa-fi-nge
1151;nuyulu;nuyu-lu
1152;r;r
1153;illkütupaenew;illkü-tu-pa-e-n-ew
1154;dumiñ;dumiñ
1155;elungetulay;elu-nge-tu-la-y
1156;witralepuy;witra-le-pu-y
1157;tranaley;trana-le-y
1158;küdawnge;küdaw-nge
1159;tamün;ta-mün
1160;nielayay;nie-la-ya-y
1161;antonio;antonio
1162;ñamkelafuy;ñam-ke-la-fu-y
1163;eso;eso
1164;yemekefuy;ye-meke-fu-y
1165;tukuniengelay;tuku-nie-nge-la-y
1166;mapuchengen;mapuche-nge-n
1167;yangall;yangall
1168;kellukewfuy;kellu-ke-w-fu-y
1169;wim;wim
1170;allfüluwün;allfü-lu-w-ün
1171;feypipalay;fey-pi-pa-la-y
1172;nakümngekefuy;naküm-nge-ke-fu-y
1173;lulu;lulu
1174;kimay;kim-a-y
1175;quiere;quier-e
1176;tukungenofiliñ;tuku-nge-no-fi-l-iñ
1177;am;am
1178;nuyuael;nuyu-a-el
1179;mas;mas
1180;nütramkayafilu;nütramka-ya-fi-lu
1181;kimniefiñ;kim-nie-fi-ñ
1182;yekafemputuy;ye-ka-fem-pu-tu-y
1183;puwün;puw-ün
1184;ñamümi;ñam-üm-i
1185;wüzay;wüza-y
1186;llikanoael;llika-no-a-el
1187;indigenangelu;indigena-nge-lu
1188;chemkülelu;chem-küle-lu
1189;kümelkaletuay;küme-l-ka-le-tu-a-y
1190;küpayael;küpa-ya-el
1191;adkunukefuy;ad-kunu-ke-fu-y
1192;kimelkefin;kimel-ke-fi-n
1193;chompiru;chompiru
1194;rollizo;rollizo
1195;fendefiy;fende-fi-y
1196;ketrongelu;ketro-nge-lu
1197;konwekülpe;kon-we-kül-pe
1198;chemkelan;chem-ke-la-n
1199;ngülamtungekefuy;ngülam-tu-nge-ke-fu-y
1200;amulwetulay;amu-l-we-tu-la-y
1201;nütramkay;nütramka-y
1202;dungukelafu;dungu-ke-la-fu-
1203;kuydapan;kuyda-pa-n
1204;amunoli;amu-no-l-i
1205;nengüm;nengüm
1206;chang;chang
1207;dunguliñ;dungu-l-iñ
1208;ngümakeiñ;ngüma-ke-iñ
1209;ranquil;ranquil
1210;arelen;are-le-n
1211;visitayaw;visita-yaw-
1212;wuiñ;wu-iñ
1213;puwlmi;puw-l-mi
1214;truf;truf
1215;mi;mi
1216;chokofuyu;choko-fu-yu
1217;ponwi;ponwi
1218;kintuael;kintu-a-el
1219;dewmakefun;dewma-ke-fu-n
1220;pelafin;pe-la-fi-n
1221;wewngey;wew-nge-y
1222;ngillatunlekefuyngün;ngillatu-n-le-ke-fu-y-ngün
1223;aluñmayan;alu-ñma-ya-n
1224;konürkeymi;kon-ürke-ymi
1225;accidente;accidente
1226;pekanka;pekanka
1227;laku;laku
1228;sexto;sexto
1229;amutuaymi;amu-tu-a-ymi
1230;em;em
1231;ngülam;ngülam
1232;lavadora;lavadora
1233;apolu;apo-lu
1234;weshañmawi;wesha-ñma-w-i
1235;küyen;küyen
1236;mapuchedunguken;mapuche-dungu-ke-n
1237;entuy;entu-y
1238;trawükey;trawü-ke-y
1239;duamküleael;duam-küle-a-el
1240;amutuay;amu-tu-a-y
1241;s;s
1242;kimlafin;kim-la-fi-n
1243;kiñekentu;kiñe-ke-ntu
1244;antüy;antü-y
1245;chempelay;chem-pe-la-y
1246;chicha;chicha
1247;wekun;wekun
1248;adumlafin;adum-la-fi-n
1249;müleli;müle-l-i
1250;kelluaeymew;kellu-a-e-y-mew
1251;lantulu;lantu-lu
1252;ayeltuael;aye-l-tu-a-el
1253;mongetuay;monge-tu-a-y
1254;feypirkefuy;fey-pi-rke-fu-y
1255;tringartukungey;tringar-tuku-nge-y
1256;kimnielimi;kim-nie-l-imi
1257;kulliñ;kulliñ
1258;hongo;hongo
1259;chala;chala
1260;fogon;fogon
1261;masatulekefuy;masatu-le-ke-fu-y
1262;küpalngekey;küpal-nge-ke-y
1263;ngillametuy;ngilla-me-tu-y
1264;ngillafiy;ngilla-fi-y
1265;femlayay;fem-la-ya-y
1266;kellungelay;kellu-nge-la-y
1267;ngillatuaiñ;ngillatu-a-iñ
1268;piael;pi-a-el
1269;piafin;pi-a-fi-n
1270;malukakey;malu-ka-ke-y
1271;kewatuyawlayaymi;kewa-tu-yaw-la-ya-ymi
1272;banco;banco
1273;kimün;kim-ün
1274;montulay;montu-la-y
1275;küdawnoael;küdaw-no-a-el
1276;falikefuy;fali-ke-fu-y
1277;arribatulepaiñ;arriba-tu-le-pa-iñ
1278;ayiwkefuiñ;ayi-w-ke-fu-iñ
1279;pepufilu;pe-pu-fi-lu
1280;afi;af-i
1281;llellipukefuy;llellipu-ke-fu-y
1282;tiempo;ti-em-po
1283;cuerdo;cuerdo
1284;famnakümafimün;fam-naküm-a-fi-mün
1285;mongey;monge-y
1286;llituken;llitu-ke-n
1287;pi;pi-
1288;konkey;kon-ke-y
1289;korko;korko
1290;kimeltuael;kimel-tu-a-el
1291;niekefun;nie-ke-fu-n
1292;lapelayafuiñ;la-pe-la-ya-fu-iñ
1293;illkükey;illkü-ke-y
1294;año;año
1295;trananagrumele;trana-nag-rume-l-e
1296;llalla;llalla
1297;ülkantuay;ülkantu-a-y
1298;kuseñma;kuse-ñma
1299;calle;calle
1300;kümelkakey;küme-l-ka-ke-y
1301;kimniefuy;kim-nie-fu-y
1302;litro;litro
1303;tenia;tenia
1304;chalin;chali-n
1305;datuchefe;datu-che-fe
1306;adngetuafuymün;ad-nge-tu-a-fu-ymün
1307;kuntawküley;kuntaw-küle-y
1308;feypiafuen;fey-pi-a-fu-e-n
1309;ñidolkünuel;ñidol-künu-el
1310;angkümkey;angk-üm-ke-y
1311;entretencion;entretencio-n
1312;penka;penka
1313;pelotatufe;pelota-tu-fe
1314;kichiw;kichiw
1315;piwkey;pi-w-ke-y
1316;ngillatuken;ngillatu-ke-n
1317;allküngey;allkü-nge-y
1318;mülekefuy;müle-ke-fu-y
1319;este;este
1320;adlay;ad-la-y
1321;ngümangümangey;ngüma-ngüma-nge-y
1322;tro;tro
1323;küdawpun;küdaw-pu-n
1324;pingekefuy;pi-nge-ke-fu-y
1325;kimi;kim-i
1326;katrukachupan;katru-kachu-pa-n
1327;yepape;ye-pa-pe
1328;anümchengelu;anüm-che-nge-lu
1329;dunguy;dungu-y
1330;pirumeley;pi-rume-le-y
1331;wilifelfiy;wilif-el-fi-y
1332;weupifengeaymi;weupi-fe-nge-a-ymi
1333;tutepinolu;tute-pi-no-lu
1334;peñmafiel;pe-ñma-fi-el
1335;jefe;jefe
1336;rapituwe;rapi-tu-we
1337;nieael;nie-a-el
1338;entonces;entonces
1339;kimelfin;kimel-fi-n
1340;pipiyeyngün;pi-pi-ye-y-ngün
1341;katrukefun;katru-ke-fu-n
1342;chumlay;chum-la-y
1343;ülkantukey;ülkantu-ke-y
1344;chadi;chadi
1345;putumekelafuy;putu-meke-la-fu-y
1346;pelaa;pe-la-a
1347;kureyawle;kure-yaw-l-e
1348;no;no
1349;küdawmen;küdaw-me-n
1350;feypimefiiñ;fey-pi-me-fi-iñ
1351;terno;terno
1352;llowkey;llow-ke-y
1353;tukutuwn;tuku-tu-w-n
1354;aguantawelafin;aguanta-we-la-fi-n
1355;recreo;recreo
1356;feypingerkey;fey-pi-nge-rke-y
1357;famngekefuy;fam-nge-ke-fu-y
1358;sino;sino
1359;privatizao;privatizao
1360;kimpalu;kim-pa-lu
1361;füchache;fücha-che
1362;lo;lo
1363;femlayngün;fem-la-y-ngün
1364;argentina;argentina
1365;kümelkalekan;küme-l-ka-le-ka-n
1366;pun;pun
1367;kayu;ka-yu
1368;famnawtulu;fam-naw-tu-lu
1369;yekey;ye-ke-y
1370;pingün;pi-ngün
1371;kimfimi;kim-fi-mi
1372;tamew;ta-mew
1373;kullingekerkelay;kulli-nge-ke-rke-la-y
1374;femilmi;femi-l-mi
1375;akuay;aku-a-y
1376;kimmapudungun;kim-mapudungu-n
1377;engu;engu
1378;niefuyngu;nie-fu-y-ngu
1379;rag;rag
1380;mülepulu;müle-pu-lu
1381;nütramkayael;nütramka-ya-el
1382;piyafuiñ;pi-ya-fu-iñ
1383;kintukey;kintu-ke-y
1384;taiñ;ta-iñ
1385;layafun;la-ya-fu-n
1386;nielan;nie-la-n
1387;pingümtukuleeyñmew;pingüm-tuku-le-e-yñ-mew
1388;dificio;dificio
1389;ayelafin;aye-la-fi-n
1390;chacra;chacra
1391;elukefuenew;elu-ke-fu-e-n-ew
1392;nuyunuyungey;nuyu-nuyu-nge-y
1393;adumfin;adum-fi-n
1394;agarre;agarr-e
1395;kachu;kachu
1396;ngollilu;ngolli-lu
1397;pepa;pepa
1398;kümelayngün;küme-la-y-ngün
1399;yewi;yew-i
1400;toooodo;toooodo
1401;pingekunuy;pi-nge-kunu-y
1402;wimuntun;wimun-tu-n
1403;mapudunguletuy;mapudungu-le-tu-y
1404;enseñangelay;enseña-nge-la-y
1405;kewan;kewa-n
1406;rakiduamael;rakiduam-a-el
1407;infitu;infitu
1408;küdawaymün;küdaw-a-ymün
1409;nielmün;nie-l-mün
1410;rupakelafuy;rupa-ke-la-fu-y
1411;kontawküley;kontaw-küle-y
1412;wedañmaley;weda-ñma-le-y
1413;feyentuy;feyentu-y
1414;ñukentu;ñukentu
1415;entuay;entu-a-y
1416;femkelu;fem-ke-lu
1417;kutrannnamunkey;kutrannnamun-ke-y
1418;wemun;wemun
1419;eluñmangey;elu-ñma-nge-y
1420;kintuniey;kintu-nie-y
1421;penielu;pe-nie-lu
1422;müna;müna
1423;rol;ro-l
1424;kimelkunukefueyñmew;kimel-kunu-ke-fu-e-yñ-mew
1425;tukuniekelafuymi;tuku-nie-ke-la-fu-ymi
1426;akuyu;aku-yu
1427;küpayeniele;küpa-ye-nie-l-e
1428;umawpuymi;umaw-pu-ymi
1429;chumlelu;chum-le-lu
1430;ngülaleay;ngüla-le-a-y
1431;puralechi;pura-le-chi
1432;wedozkünungekey;wedoz-künu-nge-ke-y
1433;illamngekey;illam-nge-ke-y
1434;mülepufulu;müle-pu-fu-lu
1435;elael;e-la-el
1436;yengepape;ye-nge-pa-pe
1437;trapumülfiy;trapum-ül-fi-y
1438;yewelkafiy;yewe-l-ka-fi-y
1439;tripalaiñ;tripa-la-iñ
1440;confianza;confianza
1441;colonizao;colonizao
1442;elungeiñ;elu-nge-iñ
1443;ngillatumekey;ngillatu-meke-y
1444;weychafe;weycha-fe
1445;elungekey;elu-nge-ke-y
1446;koylangey;koyla-nge-y
1447;ngüman;ngüma-n
1448;gobierno;gobierno
1449;pepun;pe-pu-n
1450;eluniekenew;elu-nie-ke-n-ew
1451;wimiñ;wim-iñ
1452;winolkülen;winol-küle-n
1453;nütramkameafiyu;nütramka-me-a-fi-yu
1454;nietuy;nie-tu-y
1455;ngulalayafun;ngula-la-ya-fu-n
1456;adtukukunueymew;ad-tuku-kunu-e-ym-ew
1457;maria;maria
1458;wiya;wiya
1459;feypiliiñ;fey-pi-li-iñ
1460;tati;ta-t-i
1461;kimpuymi;kim-pu-ymi
1462;podülpay;pod-ül-pa-y
1463;wünen;wüne-n
1464;tukulelngey;tuku-lel-nge-y
1465;müleputuy;müle-pu-tu-y
1466;obligado;obligado
1467;nentulu;nentu-lu
1468;piel;piel
1469;küpadungun;küpa-dungu-n
1470;koylangeymi;koyla-nge-ymi
1471;chefe;che-fe
1472;ilu;i-lu
1473;construccion;construccion
1474;chumkaorume;chumkaorume
1475;fantepumew;fantepumew
1476;challofnon;challof-no-n
1477;trauma;trauma
1478;mülen;müle-n
1479;yemengekefuy;ye-me-nge-ke-fu-y
1480;allküfilimün;allkü-fi-li-mün
1481;kal;kal
1482;puwküley;puw-küle-y
1483;adkintunieetew;adkintu-nie-e-t-ew
1484;rakiduamlay;rakiduam-la-y
1485;wechuwi;wechu-w-i
1486;felen;fele-n
1487;oro;oro
1488;nentuael;nentu-a-el
1489;relkunukey;rel-kunu-ke-y
1490;papel;papel
1491;kewayael;kewa-ya-el
1492;nochilkakey;nochi-l-ka-ke-y
1493;langümwi;langüm-w-i
1494;tripawe;tripa-we
1495;angküduami;angkü-duam-i
1496;tukuay;tuku-a-y
1497;wimun;wimun
1498;chedküywen;chedküy-wen
1499;almacen;almacen
1500;yekerkey;ye-ke-rke-y
1501;kellukewingün;kellu-ke-w-i-ngün
1502;yeyu;ye-yu
1503;utruftungey;utruf-tu-nge-y
1504;pichike;pichi-ke
1505;mew;mew
1506;ülkantukefuy;ülkantu-ke-fu-y
1507;ellapichiwentrungelu;ella-pichi-wentru-nge-lu
1508;weupifengeay;weupi-fe-nge-a-y
1509;ilo;ilo
1510;willi;willi
1511;kurüngelu;kurü-nge-lu
1512;estudiante;estudiante
1513;pichidomo;pichi-domo
1514;küdawfe;küdaw-fe
1515;wirintukuafuy;wiri-n-tuku-a-fu-y
1516;tele;tele
1517;man;man
1518;yeniekefuyngün;ye-nie-ke-fu-y-ngün
1519;umawtuael;umaw-tu-a-el
1520;elumuan;elu-mu-a-n
1521;koni;kon-i
1522;ya;ya
1523;pingeken;pi-nge-ke-n
1524;küdawaiñ;küdaw-a-iñ
1525;m;-m
1526;ayetufallay;aye-tu-fal-la-y
1527;trewa;trewa
1528;montuay;montu-a-y
1529;rupapunam;rupa-pun-a-m
1530;profesora;profesor-a
1531;kellualu;kellu-a-lu
1532;elungen;elu-nge-n
1533;machitungekefuy;machi-tu-nge-ke-fu-y
1534;kewa;kewa
1535;rungkurungkulele;rungku-rungku-le-l-e
1536;fewla;fewla
1537;tuwi;tuw-i
1538;rakiduamün;rakiduam-ün
1539;ile;i-l-e
1540;ayetukelafiiñ;aye-tu-ke-la-fi-iñ
1541;rincon;rincon
1542;kiñe;kiñe-
1543;kurako;kurako
1544;temucochengen;temuco-che-nge-n
1545;yepay;ye-pa-y
1546;akukeiñ;aku-ke-iñ
1547;kullingekeiñ;kulli-nge-ke-iñ
1548;ngillañ;ngillañ
1549;felepelay;fele-pe-la-y
1550;pelantaro;pelantaro
1551;foina;foina
1552;universidad;universidad
1553;pangküll;pangküll
1554;kimpafiñ;kim-pa-fi-ñ
1555;yungetuwi;yu-nge-tu-w-i
1556;feyentun;feyentu-n
1557;kofke;kofke
1558;ngillatun;ngillatu-n
1559;allküfilu;allkü-fi-lu
1560;kimelfengen;kimelfe-nge-n
1561;colegio;colegio
1562;tukufinge;tuku-fi-nge
1563;ngillatuñmaniekeeyu;ngillatu-ñma-nie-ke-e-yu
1564;lelingeel;leli-nge-el
1565;weñeñmangeperkelan;weñe-ñma-nge-pe-rke-la-n
1566;küdawngefuy;küdaw-nge-fu-y
1567;kellueymew;kellu-e-ym-ew
1568;pepaeyu;pepa-e-yu
1569;elungey;elu-nge-y
1570;elukünuiñ;elu-künu-iñ
1571;ayetufilmi;aye-tu-fi-l-mi
1572;yewekefun;yewe-ke-fu-n
1573;kimnole;kim-no-l-e
1574;kuramtulayafuiñ;kuram-tu-la-ya-fu-iñ
1575;tremün;trem-ün
1576;alün;alün
1577;weñeñmafiel;weñe-ñma-fi-el
1578;weychan;weycha-n
1579;mülepelay;müle-pe-la-y
1580;pikefuenew;pi-ke-fu-e-n-ew
1581;tukukan;tuku-ka-n
1582;nütram;nütram
1583;weftuy;wef-tu-y
1584;tukufufiiñ;tuku-fu-fi-iñ
